id;servicio;marca;modelo;situacion;estado;kms;tipo;kilometraje
"https://www.zaragoza.es/sede/servicio/vehiculo/16";"Alcaldía Bº SJ de Mozarrifar";"Honda";"SGX50";"PROPIEDAD";"ALTA";"0";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/27";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1292,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//654,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//16"
"https://www.zaragoza.es/sede/servicio/vehiculo/17";"Arquitectura";"Renault";"Trafic";"PROPIEDAD";"ALTA";"5067";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/10";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1293,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//17,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//655"
"https://www.zaragoza.es/sede/servicio/vehiculo/18";"Arquitectura";"Opel";"Corsa";"PROPIEDAD";"ALTA";"2953";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/17";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//18,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1294,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//656"
"https://www.zaragoza.es/sede/servicio/vehiculo/19";"Arquitectura";"Opel";"Astra";"PROPIEDAD";"ALTA";"3069";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/17";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//657,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1295,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//19"
"https://www.zaragoza.es/sede/servicio/vehiculo/20";"Arquitectura";"Opel";"Combo";"PROPIEDAD";"ALTA";"5676";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/9";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1296,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//658,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//20"
"https://www.zaragoza.es/sede/servicio/vehiculo/21";"Arquitectura";"Opel";"Combo";"PROPIEDAD";"ALTA";"5800";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/9";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//659,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//21,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1297"
"https://www.zaragoza.es/sede/servicio/vehiculo/22";"Arquitectura";"Opel";"Combo";"PROPIEDAD";"ALTA";"4955";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/9";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//660,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1298,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//22"
"https://www.zaragoza.es/sede/servicio/vehiculo/23";"Arquitectura";"Opel";"Combo";"PROPIEDAD";"ALTA";"7230";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/9";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//661,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//23,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1299"
"https://www.zaragoza.es/sede/servicio/vehiculo/24";"Arquitectura";"Opel";"Combo";"PROPIEDAD";"ALTA";"6742";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/9";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//662,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//24,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1300"
"https://www.zaragoza.es/sede/servicio/vehiculo/25";"Arquitectura";"Opel";"Combo";"PROPIEDAD";"ALTA";"7043";"https://www.zaragoza.es/sede/servicio/vehiculo/tipo/9";"https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//1301,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//25,https://www.zaragoza.es/sede/recurso/vehiculo/kilometraje//663"
